,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
20,0.055196,-0.011334,0.067236,-0.19821,0.15189,0.16452,0.15885,-0.044487,0.27088,0.39874,0.13677,0.40495,0.23584,0.28819,0.22567,0.2448,0.27026,0.16519,0.2457,0.39061,1,0.32728,0.051843,0.090062,0.31748,0.3662,0.015226,0.15407,0.025751,0.16471,0.11562,0.26848,0.1312,0.20482,0.26308,0.29121,0.29375,0.21121,0.02968,0.29789,0.082145,-0.032216,-0.21867,-0.11993,-0.070539,0.23919,0.10329,0.16825,0.0065879,0.2149,-0.052279,-0.28143,0.1363,-0.17886,-0.03019,-0.13705,-0.32485,-0.21569,0.1546,-0.2062,0.098129,-0.31555,0.053959,0.10437,-0.20561,0.26038,0.090941,-0.035041,-0.10208,-0.21587,-0.22904,0.2472,0.0069661,-0.046399,-0.33634,0.060829,-0.093044,0.22925,0.098915,0.089922
21,-0.05974,0.28304,-0.00073008,0.20839,0.14538,0.25234,0.18312,-0.044121,0.27781,0.25336,0.32623,0.3819,0.13025,0.31572,0.35462,0.20012,0.32077,0.052796,0.27681,0.31051,0.32728,1,0.22444,0.17993,0.41746,0.28863,0.12983,0.19971,0.023088,0.24598,0.20675,-0.069236,-0.091637,0.31112,0.12112,-0.049359,0.24721,0.047535,-0.060825,0.15868,0.28528,0.029478,0.0962,-0.037787,0.10323,0.089652,0.21768,-0.013758,-0.094512,-0.0076751,0.14633,0.11616,0.024915,-0.076978,-0.043694,-0.070766,-0.12073,-0.2309,0.12292,-0.10303,0.15105,0.064047,0.27952,0.11078,0.22423,0.14203,-0.19601,0.17044,0.2388,-0.14409,0.035348,0.19221,0.034392,-0.068581,-0.031287,0.23682,-0.16389,0.02144,0.077977,-0.096471
22,0.10727,0.093517,-0.024997,0.11506,0.16798,0.17605,-0.05948,0.013448,0.2758,0.055664,0.13674,0.34143,0.21527,0.19816,0.26172,0.36721,0.34335,0.24985,-0.025519,0.22391,0.051843,0.22444,1,0.34644,0.28676,0.14816,0.13141,0.25955,0.2062,0.25347,0.23675,0.20678,0.11222,-0.12917,0.27268,0.13057,0.089682,0.43704,0.0046945,0.15671,-0.041387,0.0002637,0.16492,0.11406,0.033369,-0.071259,0.35888,0.108,-0.15388,-0.088795,0.0085117,0.2122,-0.085737,-0.11955,0.11353,0.12935,-0.098707,0.10088,-0.081612,0.14946,-0.016866,-0.33953,0.078986,-0.27441,-0.037996,0.44631,-0.46181,-0.12596,-0.15648,-0.026071,0.12469,0.09982,-0.34545,0.17545,0.0067725,-0.20783,-0.17266,0.047463,0.065117,-0.040909
23,0.13312,-0.0186,-0.071453,0.2497,0.15901,0.33105,-0.0028437,0.14884,0.142,-0.045547,-0.01398,0.2425,0.3125,0.22858,0.1531,0.33108,0.29862,0.17391,0.2521,0.28495,0.090062,0.17993,0.34644,1,0.18789,0.1874,0.13552,0.29127,0.10478,-0.074199,0.096311,0.13639,-0.042433,0.33822,0.050373,-0.00019295,0.21603,0.13427,-0.0063794,0.37707,0.022405,-0.024334,-0.071651,-0.10527,0.074466,-0.15485,0.2292,0.25024,0.043981,-0.12762,0.20673,0.027805,0.026638,-0.04268,0.3347,0.14875,-0.14681,-0.051453,-0.26106,-0.16083,0.31051,0.047329,0.0033122,-0.012023,-0.036505,0.23729,-0.42321,-0.14735,-0.01942,-0.098542,0.058625,0.078342,-0.17969,-0.028953,-0.052781,-0.043427,-0.078292,0.010242,-0.048961,-0.094315
24,0.057001,0.096415,-0.012437,0.045556,0.22718,0.12933,0.18527,0.040345,0.17438,0.18504,0.50141,0.22462,0.11493,0.14446,0.46606,0.24262,0.26104,0.20377,0.24451,0.42383,0.31748,0.41746,0.28676,0.18789,1,0.21857,0.39462,0.33897,0.09802,0.13629,0.004236,0.13301,0.10013,0.15066,0.32629,-0.12501,0.11499,0.025331,0.065657,0.020257,0.070738,-0.03014,-0.025696,-0.17405,0.025016,-0.1676,0.053305,-0.095525,-0.19927,-0.028818,0.34519,-0.10222,0.16191,0.0023378,-0.13035,-0.030209,-0.18274,-0.13875,0.0083019,-0.049368,0.15241,-0.11503,0.27236,-0.029538,-0.073032,-0.017187,-0.20554,-0.18066,-0.19469,0.013448,0.030641,0.10243,-0.018079,-0.062297,-0.15582,-0.24982,-0.13298,0.15745,0.047597,0.0128
25,-0.045427,0.038958,0.029033,0.0047387,0.50674,0.10885,-0.097796,-0.052426,0.19717,0.24122,0.10803,0.31379,0.20589,0.10587,0.19364,0.37415,0.1295,-0.20662,0.33591,0.34717,0.3662,0.28863,0.14816,0.1874,0.21857,1,0.073683,0.28071,0.21339,0.14806,-0.035168,0.11257,0.20403,0.2916,0.10002,0.32439,0.069567,0.12185,0.24844,0.36555,0.13953,0.13228,-0.23176,0.10774,-0.026155,-0.026153,0.35253,-0.12429,0.040833,-0.11412,-0.1908,-0.11941,0.31306,-0.21947,0.11637,-0.24695,0.064292,-0.085158,0.14514,-0.30893,0.098703,-0.081892,-0.1284,0.040039,-0.16851,0.18084,-0.04677,0.012425,-0.090108,-0.063959,0.11682,0.060516,-0.034832,0.034197,-0.072533,0.053204,-0.22295,0.031017,0.043035,-0.016803
26,-0.15984,0.14632,0.17619,-0.066783,0.2738,-0.0072528,0.11473,0.066117,0.11412,-0.054284,0.18614,0.1847,-0.12154,0.2032,0.094993,0.19615,0.27165,-0.0022446,0.13722,0.20589,0.015226,0.12983,0.13141,0.13552,0.39462,0.073683,1,0.14645,0.096672,0.11539,-0.22538,0.16124,-0.012786,-0.043339,0.28882,-0.18082,0.1756,-0.11344,0.035069,-0.1192,0.098474,-0.0013475,0.15728,0.013761,0.27337,-0.047753,0.24706,0.11709,0.22179,0.034271,0.0056231,0.13533,-0.018117,-0.062235,-0.051837,0.33599,0.019154,-0.28721,0.071696,0.15073,0.090552,0.1009,-0.041084,-0.15589,0.10255,-0.024227,-0.24188,-0.42511,-0.043251,0.078221,0.20162,0.21874,-0.11043,-0.018589,-0.12515,-0.16002,-0.00031364,0.1785,-0.17656,0.072685
27,0.048922,0.11647,-0.022705,-0.22839,0.16474,0.15979,0.42811,-0.076717,0.15841,0.36366,0.42756,0.037977,0.33731,0.1736,0.2038,0.13871,0.18135,0.047126,0.36591,0.21595,0.15407,0.19971,0.25955,0.29127,0.33897,0.28071,0.14645,1,0.22608,0.17466,0.051206,0.14367,0.026777,0.26099,0.26204,0.21497,0.26252,0.28109,0.23721,0.22721,0.14757,-0.061252,-0.35824,0.10216,-0.0092539,-0.048218,0.087108,-0.35312,0.063191,0.11729,0.26733,-0.20713,0.21605,-0.24984,0.035299,-0.032484,0.032252,-0.086388,0.098661,-0.13611,0.25996,-0.083037,0.16623,-0.034929,-0.32887,-0.0075517,-0.24187,-0.1393,-0.16535,0.0050438,0.092391,-0.159,0.014828,0.072791,-0.21329,-0.068743,0.148,0.13749,-0.16052,-0.31654
28,0.15056,-0.27273,0.17858,0.0066373,0.087092,0.16427,-0.072334,-0.018998,0.21518,-0.064734,0.21829,0.15651,0.21119,0.10163,0.32141,0.11022,0.020811,0.026365,-0.075454,0.22122,0.025751,0.023088,0.2062,0.10478,0.09802,0.21339,0.096672,0.22608,1,0.12098,-0.087058,-0.22553,0.12104,0.07151,0.27125,0.27775,0.043434,0.14058,0.22395,-0.050396,0.17087,0.11192,-0.13542,0.062515,0.17296,0.026198,0.11441,-0.073522,-0.034027,0.045269,-0.023983,-0.21513,0.036364,0.11581,-0.062851,-0.002713,0.11093,0.21251,0.19779,-0.02978,0.22591,-0.12694,-0.20142,-0.11618,-0.31276,0.25788,-0.27142,-0.070264,0.047192,-0.033158,0.14592,-0.011518,-0.13281,0.047811,0.25626,-0.13897,-0.043008,0.054552,-0.18161,0.18534
29,0.029014,-0.096481,-0.018699,-0.015794,-0.12264,-0.12486,0.030788,0.29499,0.39254,0.17001,0.23919,0.14043,0.043705,0.42957,0.15374,0.087007,0.45496,0.25118,0.055104,-0.06969,0.16471,0.24598,0.25347,-0.074199,0.13629,0.14806,0.11539,0.17466,0.12098,1,0.15673,0.2385,0.22274,-0.12649,0.17944,-0.034349,0.33431,0.10493,0.08379,0.010703,0.15299,0.028908,0.27742,0.27692,0.016226,0.12878,0.2741,-0.056195,0.21305,-0.26155,0.22803,0.027797,0.16213,0.11786,-0.04718,0.12365,-0.24117,0.036161,0.050089,-0.13206,-0.023362,-0.19916,-0.20502,0.15548,-0.1603,0.098793,-0.054701,0.15082,0.037438,-0.028006,-0.012165,-0.16465,-0.060645,-0.024812,-0.32325,-0.069104,0.22496,0.36735,-0.066957,0.16711
