,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
20,0.081718,0.078816,-0.045151,0.21755,0.20148,0.28906,-0.09231,0.54296,0.13657,0.41024,0.31672,0.42637,0.41451,0.32275,0.35236,0.13718,0.2915,0.35919,0.36515,0.36559,1,0.36254,-0.0056169,-0.020897,0.35678,0.26554,0.096094,0.060141,0.14749,0.40657,0.18843,0.20794,0.080379,0.29926,0.1069,-0.15977,0.37232,-0.06314,0.1678,0.15118,0.050777,0.22789,0.24792,0.038561,0.19672,-0.092535,0.21937,0.086638,0.090504,0.14856,0.14583,0.0092332,-0.037434,0.35156,-0.10692,0.047496,-0.037684,0.15494,-0.10076,0.080998,-0.19944,-0.10069,-0.095986,0.066254,-0.16178,-0.07615,-0.045397,0.20241,0.14925,0.27385,-0.27396,0.094231,-0.053042,-0.069784,-0.2468,-0.033664,0.010061,-0.19226
21,-0.040068,0.054884,0.016653,0.20726,-0.061333,0.37336,0.11082,0.14843,0.29255,0.28217,0.14687,0.53907,0.17511,0.36422,0.31089,0.084301,0.43053,0.50585,0.16691,0.34537,0.36254,1,0.26699,0.21966,0.29721,0.223,0.27722,0.22602,0.43411,0.35356,0.32949,0.34789,0.19921,0.24305,0.24892,0.18276,0.28091,0.14063,-0.14635,-0.17391,0.098988,0.090187,0.15029,0.05863,-0.037787,0.13214,0.2355,0.1286,-0.13865,0.19088,0.16908,0.18736,-0.044097,0.40838,-0.031287,0.048038,0.16913,-0.093908,0.2211,0.026498,0.069671,0.032957,-0.17709,-0.19885,0.017503,-0.13037,-0.037387,0.13818,0.17908,0.29777,-0.049907,-0.10024,-0.30871,-0.097107,-0.15145,-0.079209,-0.1681,-0.076144
22,0.14052,0.18843,0.14987,0.20204,-0.14631,0.056224,0.097857,0.035428,0.19085,0.067866,-0.0022781,0.16479,0.18416,0.21367,0.17583,-0.16815,0.29228,0.49,0.15664,0.11815,-0.0056169,0.26699,1,0.025194,0.12292,0.20767,0.2308,-0.052386,0.1679,0.086624,0.33044,0.23026,0.1875,0.17657,0.27333,0.24159,0.16723,0.16379,0.079579,-0.12032,0.48052,-0.24603,-0.17307,0.20898,-0.37334,-0.05339,-0.1002,0.17181,-0.14423,-0.095371,-0.15199,0.099536,-0.20066,0.053277,-0.1351,-0.0014911,0.093413,0.13271,0.34237,0.1795,0.18346,0.22215,0.079637,0.2438,0.18069,0.08081,-0.0087167,0.010484,0.1062,-0.062736,-0.071802,0.16665,0.27031,0.18379,0.039037,-0.23151,-0.179,-0.16333
23,0.12816,-0.10641,-0.011789,-0.046277,-0.23578,0.06215,0.32802,-0.0066856,0.27793,0.048882,0.15401,0.2935,-0.21077,0.025761,0.17747,0.098373,0.3649,0.053914,0.049673,-0.079867,-0.020897,0.21966,0.025194,1,0.17657,0.092143,0.10468,0.27564,0.25467,-0.031793,0.17135,0.37458,0.26101,-0.11588,0.22034,-0.024121,0.17706,0.078969,-0.17066,-0.14415,0.027209,0.16064,0.10212,-0.043479,0.084115,0.21623,0.13994,0.071235,-0.177,0.44491,-0.029297,0.2022,-0.035497,0.2015,0.01021,0.097186,0.24385,0.13693,0.238,-0.084277,-0.1112,-0.079392,0.11765,-0.2652,-0.074838,0.070953,0.11087,-0.20707,0.35829,-0.1254,-0.095823,-0.091806,-0.0026912,-0.086551,-0.10208,0.21704,0.27101,-0.12568
24,0.032094,-0.027203,0.0091735,0.08778,0.066658,0.096442,0.32113,0.33593,0.19369,0.29331,0.35864,0.37158,0.17269,0.3462,0.33848,0.069636,0.5461,0.32959,0.58951,0.24603,0.35678,0.29721,0.12292,0.17657,1,0.58231,0.27004,0.23108,0.42266,0.20837,0.064306,0.45445,0.095047,0.09727,0.35763,-0.022525,0.32973,-0.031896,0.022356,0.034728,0.17791,0.097994,-0.066083,0.18615,-0.048486,-0.33939,0.016222,-0.0096501,0.10606,-0.041631,0.30648,0.029037,0.10264,0.25501,0.0065289,-0.020999,-0.16137,0.13847,0.21374,-0.065401,0.012589,-0.067738,0.07098,-0.30527,0.011833,0.069303,-0.389,0.14647,-0.0098829,0.13194,-0.014872,0.1219,0.064289,0.015936,-0.33112,-0.010646,-0.15169,-0.23463
25,-0.06501,0.0010203,0.065138,0.037478,0.079877,0.14089,0.27064,0.42564,-0.075913,0.045183,0.52508,0.37333,0.023557,0.25071,0.13708,0.1574,0.2395,0.45004,0.4349,0.17165,0.26554,0.223,0.20767,0.092143,0.58231,1,0.37033,0.21137,0.53541,0.13178,0.062105,0.43425,0.22731,-0.0010941,0.17165,0.0043086,0.40793,-0.11151,0.072773,0.1044,0.24716,0.17071,-0.038725,0.26691,-0.12877,-0.25448,0.039481,-0.038725,0.25374,0.13367,0.28902,0.12088,-0.017177,0.14248,-0.16055,0.052202,-0.095078,0.30819,0.038918,-0.051153,0.015673,-0.022562,0.092203,-0.098068,0.022696,0.030716,0.017578,0.10858,0.011737,0.15631,-0.0077959,0.1618,0.060697,0.15279,-0.3838,-0.061485,-0.062161,-0.26413
26,0.018857,0.043185,0.055696,0.17984,-0.055213,0.17755,0.20125,0.24049,-0.014448,0.061634,0.37078,0.28852,-0.093439,0.17696,0.15716,0.02955,0.25586,0.33695,0.31105,0.013371,0.096094,0.27722,0.2308,0.10468,0.27004,0.37033,1,0.22961,0.087794,0.17003,0.20248,0.15812,0.051383,0.19574,0.29537,-0.1839,0.075651,0.13081,-0.075171,-0.23465,0.069289,-0.05438,-0.35752,0.045294,-0.11244,-0.21983,-0.051306,-0.078489,-0.23465,0.084695,0.17121,0.29866,-0.34998,0.23753,-0.46846,-0.11279,0.030878,0.015221,0.23972,-0.37501,0.19234,-0.26602,-0.18212,-0.13603,-0.093809,-0.016524,-0.17631,0.099704,0.17191,-0.091115,-0.28068,0.047352,0.15,0.049718,-0.003924,-0.065741,-0.15668,-0.12461
27,0.092194,0.011159,0.28184,0.37989,-0.10356,0.28829,0.17195,0.087805,0.10251,-0.18234,0.26858,0.20294,-0.016347,-0.0067239,0.097878,0.22297,0.23037,0.062476,0.16126,-0.1504,0.060141,0.22602,-0.052386,0.27564,0.23108,0.21137,0.22961,1,0.27884,0.031745,0.24205,0.12864,-0.021121,0.07636,-0.080463,-0.27274,0.038574,-0.054745,0.095625,-0.031885,-0.2241,0.14153,-0.16691,-0.049239,0.037102,-0.036577,0.081883,-0.03081,0.12389,0.07355,0.17115,0.097977,0.10288,0.10159,0.17651,0.047847,0.34195,-0.14664,0.16829,0.13172,0.17266,0.0065957,0.12018,-0.40965,0.012109,-0.038366,-0.020182,0.10426,0.46856,0.21441,-0.10927,0.099074,-0.10298,-0.11099,0.026425,0.26493,0.3892,-0.078625
28,0.085021,0.11649,-0.18498,-0.064387,0.17883,0.27956,0.43362,0.18451,0.043485,0.21493,0.28302,0.38425,0.16936,0.16807,0.19273,0.1873,0.27918,0.45075,-0.037135,0.31573,0.14749,0.43411,0.1679,0.25467,0.42266,0.53541,0.087794,0.27884,1,0.22108,-0.082071,0.41822,0.10532,0.16486,0.285,0.073783,0.20499,0.2486,0.011349,0.021369,0.21176,-0.0035618,-0.014027,0.4327,-0.034716,0.040189,0.24269,-0.10904,0.12114,0.080158,0.17938,0.033954,0.13154,0.11937,-0.048026,0.074351,-0.077134,0.059348,0.14021,0.19522,-0.025209,0.16649,0.191,-0.34152,0.25002,0.059481,-0.049931,0.16672,-0.0094682,0.32359,-0.045203,0.20359,-0.25713,0.059338,-0.29529,0.062492,-0.024036,-0.13499
29,-0.11472,-0.17341,-0.12345,-0.0087241,0.10664,0.36648,0.045462,0.3659,0.13481,0.21617,0.17445,0.49789,0.41407,0.40675,0.38137,-0.097046,0.22291,0.38907,0.01778,0.34773,0.40657,0.35356,0.086624,-0.031793,0.20837,0.13178,0.17003,0.031745,0.22108,1,0.12366,0.14637,0.26346,0.22399,-0.036168,0.077267,0.15297,0.18025,-0.10143,0.26653,-0.02517,0.16657,0.17673,0.0059521,0.14949,0.01975,0.28737,0.24993,0.18259,-0.23693,0.0052412,0.046244,-0.019146,0.039824,0.027013,-0.20056,-0.041641,-0.042605,-0.048601,0.18767,0.11687,-0.15027,0.025159,-0.018674,0.024114,0.074912,-0.10404,-0.10123,-0.10935,0.18749,0.059684,0.26238,-0.18359,0.12496,-0.21818,0.1325,-0.04546,-0.23466
30,0.050129,-0.043562,0.23202,0.27189,-0.10986,0.11909,-0.16164,0.21565,0.078441,0.19567,-0.04102,0.38783,0.065146,0.18941,0.36454,-0.015083,0.26766,0.41893,0.32691,0.098647,0.18843,0.32949,0.33044,0.17135,0.064306,0.062105,0.20248,0.24205,-0.082071,0.12366,1,0.078205,0.32237,0.28141,0.086084,-0.20477,0.15311,0.12114,-0.0045948,-0.10072,0.034799,-0.086074,0.024018,0.20379,-0.11322,-0.04916,0.017787,0.09338,0.037777,-0.0086577,-0.058356,0.24938,-0.22566,0.011728,0.032189,-0.044437,0.32168,-0.00089933,0.28647,0.056113,-0.012875,-0.24143,-0.08293,-0.034066,-0.18544,-0.050256,0.070619,0.12626,0.1069,0.0025765,-0.066929,0.015667,0.11819,-0.071581,0.11829,-0.08086,-0.023845,0.25777
31,0.18393,0.061862,0.15327,-0.023654,-0.12249,0.16367,0.39464,0.40407,0.062583,0.099346,0.30756,0.34692,0.064715,0.1402,0.23188,0.029389,0.36451,0.41818,0.19245,0.19415,0.20794,0.34789,0.23026,0.37458,0.45445,0.43425,0.15812,0.12864,0.41822,0.14637,0.078205,1,0.1801,-0.087625,0.33804,0.33351,0.36307,0.21319,-0.15979,0.00992,0.3016,0.15454,-0.11894,0.072762,-0.013307,-0.016361,0.15971,0.13234,-0.063947,0.17195,0.0045572,0.16606,-0.011202,0.21647,-0.29264,0.078607,0.062424,0.068314,0.20794,-0.0086545,0.030415,-0.029741,0.26283,-0.11701,0.028421,0.076007,0.082204,0.066364,0.16694,-0.063968,0.026375,0.19426,0.17694,0.040398,0.19968,0.051445,0.014523,-0.31192
